date,count
20160101,218079
20160102,215671
20160103,175562
20160104,184481
20160105,160360
20160106,158993
20160107,158937
20160108,157472
20160109,154699
20160110,155307
20160111,159194
20160112,150753
20160113,148653
20160114,148825
20160115,162096
20160116,158103
20160117,138620
20160118,155084
20160119,152434
20160120,166040
20160121,173752
20160122,180331
20160123,182344
20160124,176867
20160125,193843
20160126,195424
20160127,199355
20160128,197984
20160129,196938
20160130,195416
20160131,229200
20160201,213307
20160202,211228
20160203,196006
20160204,189435
20160205,150470
20160206,138651
20160207,110321
20160208,82057
20160209,96834
20160210,102787
20160211,93640
20160212,103493
20160213,106280
20160214,127526
20160215,146920
20160216,157799
20160217,148547
20160218,152911
20160219,160645
20160220,168200
20160221,163890
20160222,159413
20160223,179510
20160224,184033
20160225,183337
20160226,196005
20160227,207059
20160228,218821
20160229,225690
20160301,192079
20160302,196925
20160303,205050
20160304,180504
20160305,164427
20160306,161022
20160307,151975
20160308,143959
20160309,152818
20160310,157900
20160311,159296
20160312,166101
20160313,156691
20160314,147138
20160315,159047
20160316,161378
20160317,157753
20160318,163429
20160319,167775
20160320,157592
20160321,161165
20160322,161841
20160323,178865
20160324,168887
20160325,174211
20160326,190603
20160327,186645
20160328,181406
20160329,181792
20160330,205078
20160331,236004
20160401,207209
20160402,204273
20160403,212091
20160404,205115
20160405,177012
20160406,174951
20160407,157673
20160408,162863
20160409,164499
20160410,166235
20160411,170821
20160412,165390
20160413,161374
20160414,165172
20160415,158829
20160416,170382
20160417,157016
20160418,159860
20160419,155550
20160420,170701
20160421,167365
20160422,173488
20160423,178061
20160424,181654
20160425,184284
20160426,197226
20160427,203152
20160428,200556
20160429,215394
20160430,241741
20160501,194482
20160502,196370
20160503,200443
20160504,188044
20160505,185200
20160506,168651
20160507,159012
20160508,149496
20160509,178226
20160510,157633
20160511,158866
20160512,161822
20160513,157913
20160514,164610
20160515,165603
20160516,165904
20160517,151626
20160518,161842
20160519,157704
20160520,173139
20160521,167904
20160522,171756
20160523,180319
20160524,186403
20160525,185310
20160526,195863
20160527,196546
20160528,192673
20160529,209905
20160530,206895
20160531,235179
20160601,192495
20160602,190649
20160603,206459
20160604,201274
20160605,183045
20160606,171351
20160607,161681
20160608,168975
20160609,180498
20160610,164086
20160611,157763
20160612,162816
20160613,173129
20160614,165972
20160615,167592
20160616,177653
20160617,172356
20160618,166895
20160619,163517
20160620,166309
20160621,159993
20160622,171688
20160623,175074
20160624,187460
20160625,189165
20160626,192127
20160627,185100
20160628,199375
20160629,208882
20160630,212951
20160701,200169
20160702,213330
20160703,220725
20160704,199808
20160705,179516
20160706,176444
20160707,166074
20160708,154969
20160709,151547
20160710,165984
20160711,181228
20160712,173745
20160713,179411
20160714,173469
20160715,175389
20160716,174167
20160717,158873
20160718,169021
20160719,161692
20160720,178119
20160721,174902
20160722,180523
20160723,176302
20160724,168413
20160725,181817
20160726,191601
20160727,200714
20160728,204271
20160729,202943
20160730,214634
20160731,217307
20160801,214264
20160802,216249
20160803,227551
20160804,221329
20160805,205198
20160806,181781
20160807,155352
20160808,168502
20160809,172863
20160810,180028
20160811,177775
20160812,176543
20160813,174504
20160814,159243
20160815,173559
20160816,185844
20160817,174058
20160818,165235
20160819,170046
20160820,175368
20160821,169340
20160822,179892
20160823,184388
20160824,189788
20160825,184631
20160826,212427
20160827,207536
20160828,204304
20160829,207869
20160830,204850
20160831,234973
20160901,219419
20160902,196367
20160903,213867
20160904,204127
20160905,183657
20160906,180720
20160907,166834
20160908,172757
20160909,177421
20160910,177507
20160911,169273
20160912,168332
20160913,159840
20160914,171212
20160915,194719
20160916,189010
20160917,166821
20160918,171651
20160919,169007
20160920,182733
20160921,182965
20160922,186914
20160923,192859
20160924,194865
20160925,173500
20160926,190725
20160927,197493
20160928,192032
20160929,214700
20160930,222890
20161001,237248
20161002,219350
20161003,232791
20161004,194903
20161005,180460
20161006,172526
20161007,160912
20161008,166705
20161009,172351
20161010,163751
20161011,168430
20161012,175117
20161013,164910
20161014,162204
20161015,161070
20161016,164707
20161017,148206
20161018,155005
20161019,155570
20161020,154952
20161021,162758
20161022,180346
20161023,179461
20161024,180334
20161025,179324
20161026,197715
20161027,189550
20161028,195486
20161029,199620
20161030,207180
20161031,221137
20161101,214155
20161102,216213
20161103,205935
20161104,196989
20161105,187378
20161106,160621
20161107,150113
20161108,161071
20161109,164103
20161110,163557
20161111,166768
20161112,156051
20161113,144707
20161114,145275
20161115,147917
20161116,160663
20161117,135839
20161118,140051
20161119,138220
20161120,139388
20161121,155659
20161122,170083
20161123,158875
20161124,148600
20161125,167394
20161126,175109
20161127,167853
20161128,171777
20161129,194186
20161130,223382
20161201,217566
20161202,197217
20161203,205514
20161204,196026
20161205,190843
20161206,165556
20161207,144791
20161208,157216
20161209,158961
20161210,168263
20161211,152607
20161212,150413
20161213,149279
20161214,142789
20161215,138719
20161216,142167
20161217,129227
20161218,123764
20161219,132689
20161220,134266
20161221,143090
20161222,159635
20161223,173191
20161224,158380
20161225,158003
20161226,183381
20161227,183150
20161228,177408
20161229,193451
20161230,192475
20161231,212313
20170101,200664
20170102,189909
20170103,194044
20170104,185940
20170105,191035
20170106,166865
20170107,164117
20170108,142228
20170109,161453
20170110,164207
20170111,162855
20170112,171420
20170113,168750
20170114,158787
20170115,148494
20170116,171062
20170117,152134
20170118,159930
20170119,162484
20170120,168416
20170121,157582
20170122,174435
20170123,177623
20170124,170187
20170125,176590
20170126,153908
20170127,118621
20170128,86627
20170129,96334
20170130,102216
20170131,109241
20170201,127034
20170202,131130
20170203,165680
20170204,164554
20170205,155531
20170206,157775
20170207,161150
20170208,159752
20170209,153866
20170210,156106
20170211,146032
20170212,143007
20170213,146262
20170214,152683
20170215,145168
20170216,150203
20170217,140451
20170218,137088
20170219,141785
20170220,145646
20170221,144204
20170222,159155
20170223,167272
20170224,169861
20170225,167805
20170226,185429
20170227,187106
20170228,193959
20170301,199026
20170302,200487
20170303,196188
20170304,195978
20170305,188247
20170306,165302
20170307,157186
20170308,155597
20170309,156463
20170310,160106
20170311,157168
20170312,146524
20170313,136147
20170314,160826
20170315,159195
20170316,158897
20170317,151891
20170318,152106
20170319,146588
20170320,156042
20170321,158243
20170322,169155
20170323,167014
20170324,165648
20170325,164815
20170326,175677
20170327,192269
20170328,182182
20170329,185306
20170330,188711
20170331,191621
20170401,207600
20170402,212264
20170403,211900
20170404,202755
20170405,201636
20170406,178390
20170407,167707
20170408,164148
20170409,159582
20170410,166035
20170411,167049
20170412,167109
20170413,150731
20170414,162534
20170415,153019
20170416,151994
20170417,142530
20170418,145265
20170419,145256
20170420,154564
20170421,162066
20170422,158659
20170423,162820
20170424,166945
20170425,171473
20170426,190959
20170427,186523
20170428,180401
20170429,186032
20170430,220853
20170501,177280
20170502,247612
20170503,238969
20170504,229997
20170505,220663
20170506,158341
20170507,153946
20170508,158874
20170509,158307
20170510,167194
20170511,152727
20170512,151718
20170513,154204
20170514,149629
20170515,149240
20170516,154234
20170517,154424
20170518,148892
20170519,152606
20170520,149509
20170521,150927
20170522,166450
20170523,164791
20170524,173912
20170525,178085
20170526,178281
20170527,179830
20170528,175363
20170529,171663
20170530,178131
20170531,222104
20170601,206402
20170602,255323
20170603,240313
20170604,207622
20170605,217904
20170606,165424
20170607,161773
20170608,164290
20170609,170843
20170610,158814
20170611,160150
20170612,159205
20170613,155622
20170614,158578
20170615,159155
20170616,164474
20170617,155199
20170618,148761
20170619,151162
20170620,156985
20170621,164444
20170622,174001
20170623,166537
20170624,174188
20170625,173068
20170626,183023
20170627,179464
20170628,185962
20170629,192978
20170630,214041
20170701,193498
20170702,240552
20170703,238710
20170704,196199
20170705,214460
20170706,156759
20170707,152924
20170708,162271
20170709,158707
20170710,158788
20170711,150273
20170712,156287
20170713,150757
20170714,148217
20170715,147478
20170716,155016
20170717,144232
20170718,143588
20170719,142697
20170720,140657
20170721,148679
20170722,157781
20170723,163240
20170724,166181
20170725,168987
20170726,170095
20170727,166479
20170728,169021
20170729,174837
20170730,202977
20170731,266702
20170801,197646
20170802,242696
20170803,237903
20170804,195210
20170805,181923
20170806,171992
20170807,167104
20170808,162116
20170809,168917
20170810,166668
20170811,156549
20170812,167418
20170813,155781
20170814,152703
20170815,155221
20170816,156778
20170817,150144
20170818,143588
20170819,142697
20170820,140657
20170821,148679
20170822,157781
20170823,163240
20170824,166181
20170825,168987
20170826,170095
20170827,166479
20170828,169021
20170829,174837
20170830,202977
20170831,266702
20170901,197646
20170902,242696
20170903,237903
20170904,195210
20170905,181923
20170906,171992
20170907,167104
20170908,162116
20170909,168917
20170910,166668
20170911,156549
20170912,167418
20170913,155781
20170914,152703
20170915,155221
20170916,156778
20170917,150144
20170918,147395
20170919,142825
20170920,154039
20170921,171071
20170922,171610
20170923,166473
20170924,173129
20170925,166907
20170926,176382
20170927,174409
20170928,176672
20170929,193031
20170930,252686
20171001,190978
20171002,237796
20171003,211957
20171004,165132
20171005,171985
20171006,151784
20171007,142501
20171008,143781
20171009,152495
20171010,158571
20171011,157060
20171012,148370
20171013,142529
20171014,132985
20171015,142219
20171016,157646
20171017,130588
20171018,127057
20171019,125716
20171020,125729
20171021,123023
20171022,133994
20171023,149811
20171024,154048
20171025,148720
20171026,166176
20171027,156705
20171028,165688
20171029,177145
20171030,180349
20171031,237441
20171101,198946
20171102,234348
20171103,229808
20171104,167442
20171105,175585
20171106,154202
20171107,150566
20171108,150964
20171109,154817
20171110,160216
20171111,143452
20171112,145309
20171113,145270
20171114,149951
20171115,145209
20171116,149443
20171117,148420
20171118,146186
20171119,132987
20171120,143116
20171121,146864
20171122,154482
20171123,149752
20171124,150354
20171125,151622
20171126,156899
20171127,159623
20171128,172186
20171129,183864
20171130,239540
20171201,193136
20171202,216675
20171203,211189
20171204,173703
20171205,179954
20171206,149400
20171207,141048
20171208,142378
20171209,138522
20171210,134281
20171211,136591
20171212,136539
20171213,142892
20171214,143004
20171215,145400
20171216,150135
20171217,125188
20171218,127233
20171219,131292
20171220,134887
20171221,137962
20171222,169347
20171223,141220
20171224,136200
20171225,155710
20171226,157727
20171227,163132
20171228,164041
20171229,174006
20171230,176762
20171231,215392
20180101,166934
20180102,234637
20180103,208155
20180104,165674
20180105,172580
20180106,149037
20180107,142710
20180108,148609
20180109,147597
20180110,142807
20180111,135266
20180112,132629
20180113,128170
20180114,119321
20180115,131841
20180116,136316
20180117,131090
20180118,135020
20180119,140184
20180120,140507
20180121,137025
20180122,138510
20180123,149047
20180124,145886
20180125,152031
20180126,157191
20180127,149828
20180128,146187
20180129,156993
20180130,177891
20180131,215294
20180201,167324
20180202,225577
20180203,202893
20180204,158358
20180205,162833
20180206,155464
20180207,136202
20180208,151920
20180209,158507
20180210,149800
20180211,145344
20180212,143542
20180213,133441
20180214,122579
20180215,94142
20180216,69898
20180217,70630
20180218,72002
20180219,77793
20180220,81187
20180221,90617
20180222,119889
20180223,132900
20180224,139460
20180225,140158
20180226,158561
20180227,176447
20180228,203090
20180301,162128
20180302,210448
20180303,188454
20180304,163027
20180305,171241
20180306,150906
20180307,161225
20180308,145191
20180309,144403
20180310,141914
20180311,140375
20180312,143290
20180313,144520
20180314,149059
20180315,143554
20180316,153492
20180317,159416
20180318,146672
20180319,158937
20180320,156953
20180321,168464
20180322,168554
20180323,156714
20180324,163552
20180325,155751
20180326,164697
20180327,176309
20180328,184657
20180329,185708
20180330,193398
20180331,214100
20180401,171076
20180402,206665
20180403,202391
20180404,157554
20180405,157221
20180406,142833
20180407,125383
20180408,130715
20180409,127413
20180410,127248
20180411,139564
20180412,133394
20180413,133744
20180414,132590
20180415,128316
20180416,125054
20180417,129608
20180418,130750
20180419,127927
20180420,140220
20180421,134930
20180422,135633
20180423,146488
20180424,153771
20180425,156026
20180426,155895
20180427,148435
20180428,157155
20180429,173758
20180430,191657
20180501,157426
20180502,207027
20180503,186417
20180504,155209
20180505,151009
20180506,125932
20180507,128483
20180508,126593
20180509,128098
20180510,128813
20180511,145986
20180512,112086
20180513,111743
20180514,123821
20180515,128565
20180516,132909
20180517,139519
20180518,131181
20180519,129870
20180520,120876
20180521,118910
20180522,123228
20180523,139944
20180524,134102
20180525,144329
20180526,137369
20180527,136439
20180528,138536
20180529,143183
20180530,174184
